k1,k2,k3,k4,k5,k6,k7,k8,st,k9,k10,cb_person_cred_hist_length
39,34000,RENT,3,PERSONAL,A,5000,8.49,1,0.15,N,15
29,18000,RENT,4,HOMEIMPROVEMENT,B,6250,9.99,1,0.35,N,6
26,33660,MORTGAGE,0,DEBTCONSOLIDATION,A,4500,5.99,1,0.13,N,2
30,60000,RENT,14,MEDICAL,C,18500,12.99,1,0.31,N,5
33,25000,RENT,18,EDUCATION,D,8000,,1,0.32,N,8
22,34560,RENT,2,MEDICAL,E,1200,19.29,1,0.03,N,4
24,52000,RENT,8,EDUCATION,C,8000,13.99,1,0.15,Y,2
30,37400,MORTGAGE,6,MEDICAL,D,12700,17.27,1,0.34,N,5
23,39000,MORTGAGE,0,MEDICAL,D,8000,14.11,1,0.21,N,3
31,57800,RENT,2,MEDICAL,E,25000,17.19,1,0.37,N,8
22,48000,RENT,5,MEDICAL,B,15000,11.89,1,0.31,N,4
22,69108,RENT,2,PERSONAL,E,5400,15.95,1,0.08,Y,2
48,64430,MORTGAGE,14,MEDICAL,D,15000,,1,0.2,Y,12
22,45630,RENT,0,VENTURE,E,2500,18.64,1,0.05,Y,4
25,22776,RENT,,HOMEIMPROVEMENT,B,7000,9.91,1,0.31,N,4
28,42000,RENT,9,MEDICAL,D,12250,14.59,1,0.29,N,10
26,47500,RENT,10,PERSONAL,E,19000,16.7,1,0.4,Y,4
24,42856,RENT,8,DEBTCONSOLIDATION,A,16000,8.9,1,0.37,N,3
31,26900,RENT,1,VENTURE,A,8325,7.51,1,0.31,N,7
22,56400,MORTGAGE,6,EDUCATION,D,8400,14.91,1,0.15,N,2
28,69000,MORTGAGE,5,DEBTCONSOLIDATION,F,25000,19.41,1,0.36,Y,5
21,20000,RENT,2,MEDICAL,A,9000,7.51,1,0.45,N,4
44,61000,RENT,2,DEBTCONSOLIDATION,D,11000,16.02,1,0.18,Y,12
24,54500,MORTGAGE,7,MEDICAL,D,8000,17.49,1,0.15,N,4
40,158000,RENT,2,HOMEIMPROVEMENT,E,25000,16.82,1,0.16,N,16
22,12240,RENT,1,PERSONAL,D,1000,14.96,1,0.08,Y,3
23,76800,MORTGAGE,0,EDUCATION,F,7200,20.89,1,0.09,N,2
23,38800,RENT,2,MEDICAL,A,14575,,1,0.38,N,4
24,28800,RENT,0,HOMEIMPROVEMENT,C,2400,14.26,1,0.08,Y,4
41,75000,MORTGAGE,13,DEBTCONSOLIDATION,D,4800,15.58,1,0.06,Y,15
27,16000,OTHER,1,DEBTCONSOLIDATION,D,5750,,1,0.36,Y,8
26,51996,MORTGAGE,2,DEBTCONSOLIDATION,E,6500,15.68,1,0.13,N,3
23,23421,RENT,3,MEDICAL,E,4500,17.99,1,0.19,Y,3
28,49000,RENT,12,HOMEIMPROVEMENT,C,4500,14.27,1,0.09,N,10
24,22100,RENT,4,EDUCATION,C,8000,13.23,1,0.36,N,2
27,48000,RENT,2,PERSONAL,C,25000,10.59,1,0.52,N,7
33,16620,OWN,,HOMEIMPROVEMENT,A,3000,5.99,1,0.18,N,6
27,27000,RENT,2,MEDICAL,B,9750,9.63,1,0.36,N,6
24,101000,MORTGAGE,3,EDUCATION,A,7000,,1,0.07,N,4
22,58617,RENT,6,MEDICAL,D,5400,15.21,1,0.09,N,2
30,51600,RENT,5,DEBTCONSOLIDATION,C,16000,13.49,1,0.31,N,8
22,15000,RENT,0,MEDICAL,D,1000,14.3,1,0.07,Y,3
32,40277,RENT,5,MEDICAL,B,15000,11.71,1,0.37,N,8
27,32000,MORTGAGE,11,DEBTCONSOLIDATION,D,1000,16.29,1,0.03,Y,10
28,123000,MORTGAGE,0,PERSONAL,A,10000,7.14,1,0.08,N,6
24,30000,RENT,1,DEBTCONSOLIDATION,C,3000,13.98,1,0.1,Y,2
27,168000,MORTGAGE,5,DEBTCONSOLIDATION,F,24000,17.26,1,0.14,N,9
