id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default_time,payoff_time,status_time
47014,33,30,30,148,104000.0,94.274318635,9.125,180.52,0.8368586627,5.0,0,0,1,0,104000.0,697,80.0,0.0,212.73,1,0,1
45346,32,31,31,148,179607.04,86.065727528,6.55,186.12,1.1041627602,5.0,0,0,1,1,180000.0,722,80.0,6.55,200.67,1,0,1
44919,39,26,28,146,276978.19,113.76827486,6.375,158.16,-0.241080652,10.0,0,0,1,0,277200.0,725,80.0,6.375,225.1,1,0,1
45872,32,27,29,147,67002.93,95.309615933,11.3,186.12,1.1041627602,5.0,0,0,1,0,67200.0,557,80.0,0.0,222.39,1,0,1
2366,16,5,16,125,49128.23,58.508553216,8.0,167.91,4.320113768,5.7,1,0,0,0,50000.0,594,83.3,9.625,120.03,1,0,1
34568,48,28,28,145,774923.87,86.74323493,3.375,146.45,2.7159028846,8.3,0,0,0,0,737000.0,709,55.0,1.0,219.67,1,0,1
44479,33,21,24,142,255316.75,101.86177939,10.875,180.52,0.8368586627,5.0,0,0,1,0,261000.0,567,90.0,7.25,208.86,1,0,1
6127,32,20,22,140,116084.38,76.243524727,7.65,186.12,1.1041627602,5.0,0,0,1,0,118800.0,681,72.9,7.65,199.21,1,0,1
43585,32,23,29,144,160108.84,93.806887645,7.25,186.12,1.1041627602,5.0,0,0,1,0,162800.0,608,80.0,0.0,221.91,1,0,1
45017,37,27,29,147,193900.0,145.02119335,8.25,153.35,-4.146710947,9.0,0,0,0,0,193900.0,717,100.0,8.25,222.39,1,0,1
8615,13,5,9,125,72590.53,64.68981393,9.55,149.7,1.9896913263,6.0,0,0,1,0,73238.0,622,81.4,0.0,120.03,1,0,1
35262,34,23,26,143,374773.78,93.137019979,5.95,173.35,-0.314447747,5.8,0,0,1,0,375000.0,702,72.8,5.95,221.91,1,0,1
7799,3,-4,1,117,69948.0,59.832948746,9.125,113.56,2.8478963057,3.9,0,0,1,0,70500.0,562,75.0,9.125,91.31,1,0,1
26490,37,23,25,143,412344.72,138.76664086,5.0,153.35,-4.146710947,9.0,0,0,1,0,387000.0,548,90.0,7.5,221.91,1,0,1
49044,44,29,31,189,237465.34,136.81754942,5.125,150.91,1.8755149375,9.2,0,0,1,0,225000.0,602,90.0,5.125,217.37,1,0,1
45404,45,27,31,148,63614.69,140.53743248,10.75,154.87,1.6391549258,9.1,0,0,1,0,65000.0,645,100.0,10.75,222.39,1,0,1
35924,33,19,22,140,356975.24,81.773559135,6.35,180.52,0.8368586627,5.0,0,0,1,0,370320.0,692,80.0,6.35,191.42,1,0,1
