YOB,NKID,DEP,PHON,SINC,AES,DAINC,RES,DHVAL,DMORT,DOUTM,DOUTL,DOUTHP,DOUTCC,BAD
19.0,4.0,0.0,1,0.0,R,0.0,O,14464.0,4.0,0.0,0.0,0.0,0.0,0.0
41.0,2.0,0.0,1,0.0,P,36000.0,O,0.0,0.0,280.0,664.0,0.0,80.0,0.0
66.0,0.0,0.0,1,0.0,N,30000.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,2.0,0.0,1,0.0,P,464.0,O,24928.0,8464.0,584.0,320.0,0.0,60.0,0.0
65.0,0.0,0.0,1,0.0,P,15000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,2.0,0.0,1,10500.0,E,48000.0,O,43392.0,46464.0,1120.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,1,6500.0,B,30000.0,O,62464.0,56000.0,520.0,0.0,96.0,0.0,0.0
43.0,1.0,0.0,1,13500.0,E,9000.0,O,63392.0,54464.0,0.0,200.0,0.0,0.0,0.0
52.0,0.0,0.0,1,0.0,E,22500.0,P,0.0,0.0,0.0,200.0,0.0,80.0,0.0
65.0,0.0,0.0,1,0.0,P,19500.0,O,26464.0,4464.0,540.0,0.0,0.0,0.0,0.0
48.0,2.0,0.0,1,0.0,E,30000.0,O,38464.0,23664.0,600.0,0.0,524.0,0.0,0.0
55.0,0.0,0.0,1,8000.0,V,21000.0,O,14464.0,64000.0,376.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,1,0.0,P,24000.0,O,54464.0,0.0,384.0,0.0,0.0,0.0,0.0
53.0,1.0,0.0,1,10000.0,V,28170.0,O,8928.0,28000.0,404.0,0.0,0.0,0.0,0.0
54.0,2.0,0.0,1,2100.0,N,48000.0,O,50464.0,28464.0,600.0,0.0,0.0,88.0,0.0
62.0,0.0,0.0,1,0.0,P,18009.0,F,0.0,0.0,280.0,0.0,0.0,0.0,0.0
46.0,1.0,0.0,1,2500.0,P,33000.0,O,3392.0,54000.0,0.0,240.0,480.0,0.0,0.0
19.0,0.0,0.0,1,104.0,R,24000.0,O,52928.0,4.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,8970.0,B,18474.0,O,57464.0,28008.0,748.0,0.0,0.0,140.0,0.0
64.0,0.0,0.0,1,0.0,T,4170.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,1,20000.0,U,0.0,O,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,0.0,0.0,1,3600.0,P,9360.0,U,0.0,0.0,152.0,512.0,0.0,0.0,1.0
38.0,2.0,0.0,1,5000.0,V,18464.0,O,13568.0,28928.0,0.0,2000.0,0.0,600.0,0.0
31.0,2.0,1.0,1,0.0,P,33464.0,F,0.0,0.0,2800.0,0.0,0.0,800.0,0.0
55.0,1.0,1.0,1,0.0,P,27000.0,O,16928.0,14464.0,580.0,0.0,0.0,0.0,0.0
31.0,2.0,0.0,0,0.0,P,3928.0,F,0.0,0.0,852.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,1,0.0,P,33750.0,O,54464.0,30464.0,940.0,460.0,44.0,0.0,0.0
29.0,0.0,0.0,1,1000.0,P,60000.0,O,3392.0,4.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0,0.0,P,18300.0,F,0.0,0.0,500.0,0.0,0.0,0.0,0.0
42.0,3.0,0.0,1,1000.0,V,26637.0,O,54464.0,4.0,0.0,0.0,276.0,0.0,0.0
45.0,4.0,0.0,1,10400.0,V,6600.0,O,48928.0,54000.0,352.0,124.0,0.0,0.0,0.0
60.0,0.0,0.0,1,8000.0,P,36000.0,O,48928.0,20928.0,1608.0,800.0,0.0,0.0,0.0
28.0,0.0,0.0,1,0.0,V,17100.0,F,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63.0,0.0,0.0,1,0.0,B,26400.0,P,0.0,0.0,320.0,316.0,0.0,0.0,0.0
59.0,1.0,0.0,1,2000.0,P,48000.0,O,36928.0,50464.0,776.0,276.0,0.0,0.0,0.0
65.0,0.0,0.0,0,0.0,V,9000.0,O,36000.0,20000.0,220.0,112.0,0.0,0.0,0.0
44.0,2.0,0.0,1,0.0,V,42000.0,O,28928.0,22000.0,108.0,56.0,0.0,0.0,0.0
64.0,0.0,0.0,1,0.0,V,21357.0,P,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,0.0,0.0,1,0.0,P,15000.0,P,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45.0,0.0,0.0,1,30000.0,W,0.0,O,21248.0,14464.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,1,0.0,T,6189.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,2.0,0.0,1,0.0,P,55068.0,O,43392.0,4.0,0.0,0.0,0.0,0.0,0.0
45.0,4.0,0.0,1,0.0,E,42000.0,O,28928.0,34464.0,988.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0,850.0,R,37500.0,U,0.0,0.0,520.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,1,0.0,P,40500.0,O,26464.0,64000.0,520.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,P,21750.0,P,0.0,0.0,0.0,0.0,0.0,60.0,1.0
59.0,1.0,0.0,1,16000.0,V,15000.0,O,24928.0,54464.0,960.0,180.0,0.0,0.0,0.0
68.0,0.0,0.0,1,0.0,T,0.0,P,48928.0,6464.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,0.0,1,0.0,R,0.0,O,34464.0,4.0,0.0,0.0,0.0,0.0,0.0
45.0,4.0,0.0,1,20000.0,W,0.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,1,0.0,V,34170.0,O,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54.0,0.0,0.0,1,0.0,P,23646.0,O,4928.0,4.0,0.0,380.0,0.0,32.0,0.0
57.0,0.0,0.0,1,0.0,P,18765.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,1,0.0,R,0.0,U,0.0,0.0,432.0,0.0,0.0,0.0,0.0
57.0,3.0,0.0,1,2928.0,E,8784.0,U,0.0,0.0,400.0,0.0,0.0,0.0,0.0
55.0,3.0,0.0,1,4000.0,V,60000.0,O,57856.0,56928.0,2000.0,0.0,0.0,600.0,0.0
68.0,0.0,0.0,0,0.0,T,13800.0,P,0.0,0.0,400.0,0.0,0.0,0.0,1.0
67.0,0.0,0.0,1,0.0,T,18000.0,P,0.0,0.0,400.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,1,0.0,R,12000.0,O,30464.0,4.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,1,0.0,P,52500.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,1,0.0,E,34500.0,O,3392.0,36000.0,288.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,1,0.0,M,1620.0,N,0.0,0.0,0.0,272.0,0.0,0.0,1.0
46.0,2.0,0.0,1,1960.0,P,39750.0,O,12464.0,29200.0,304.0,80.0,0.0,80.0,0.0
59.0,0.0,0.0,1,7195.0,V,19728.0,O,40464.0,56000.0,292.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,1,0.0,P,22200.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,1,0.0,V,12825.0,N,0.0,0.0,0.0,0.0,0.0,20.0,0.0
66.0,0.0,0.0,1,0.0,P,16500.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,1.0,0.0,1,0.0,P,36012.0,O,62464.0,40464.0,1000.0,0.0,0.0,0.0,0.0
59.0,1.0,0.0,1,0.0,V,36000.0,O,58464.0,26464.0,1160.0,640.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,P,18000.0,F,0.0,0.0,572.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,1,0.0,P,43800.0,O,12928.0,22464.0,760.0,240.0,0.0,100.0,0.0
61.0,0.0,0.0,0,0.0,M,30510.0,F,0.0,0.0,384.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,1,2000.0,E,60000.0,O,63392.0,43392.0,2280.0,0.0,0.0,0.0,0.0
50.0,2.0,0.0,1,0.0,V,59931.0,O,11392.0,54464.0,880.0,576.0,0.0,64.0,0.0
67.0,0.0,0.0,1,0.0,T,0.0,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0,0.0,M,30300.0,F,0.0,0.0,0.0,0.0,80.0,60.0,0.0
61.0,0.0,0.0,1,0.0,V,21474.0,U,0.0,0.0,0.0,0.0,0.0,640.0,0.0
37.0,0.0,0.0,1,7500.0,P,3000.0,O,8928.0,4.0,0.0,0.0,0.0,20.0,0.0
64.0,0.0,0.0,1,0.0,P,18000.0,F,0.0,0.0,480.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,1,0.0,R,15300.0,O,42464.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,1,3000.0,E,22500.0,O,28928.0,12000.0,224.0,0.0,0.0,100.0,0.0
68.0,0.0,0.0,1,0.0,T,5862.0,U,0.0,0.0,160.0,0.0,0.0,0.0,0.0
56.0,3.0,0.0,1,9000.0,P,15000.0,U,0.0,0.0,448.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,1,0.0,V,23445.0,O,4928.0,4.0,0.0,0.0,0.0,120.0,0.0
45.0,1.0,0.0,1,0.0,P,29769.0,U,0.0,0.0,408.0,0.0,0.0,40.0,0.0
57.0,0.0,0.0,1,0.0,E,7800.0,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,2.0,1.0,1,0.0,P,45000.0,O,54464.0,14464.0,684.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,1,0.0,V,60464.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,1,9500.0,P,23400.0,O,34464.0,60000.0,488.0,200.0,0.0,100.0,0.0
21.0,0.0,0.0,1,0.0,R,0.0,O,0.0,0.0,0.0,152.0,0.0,0.0,0.0
